docket,plant_name,unit,reactor_type,nss_vendor,thermal_power_mwt,license_number,location,owner_operator,nrc_region
05000387,Susquehanna,1,BWR,General Electric,,NPF-14,"70 mi NE of Harrisburg, PA","Susquehanna Nuclear, LLC",1
05000388,Susquehanna,2,BWR,General Electric,,NPF-22,"70 mi NE of Harrisburg, PA","Susquehanna Nuclear, LLC",1
05000250,Turkey Point,3,PWR,,,DPR-31,"20 mi S of Miami, FL","Florida Power & Light Co.",2
05000251,Turkey Point,4,PWR,,,DPR-41,"20 mi S of Miami, FL","Florida Power & Light Co.",2
05000424,Vogtle,1,PWR,,,NPF-68,"26 mi SE of Augusta, GA","Southern Nuclear Operating Co.",2
05000425,Vogtle,2,PWR,,,NPF-81,"26 mi SE of Augusta, GA","Southern Nuclear Operating Co.",2
05200025,Vogtle,3,PWR,Westinghouse,,NPF-91,"26 mi SE of Augusta, GA","Southern Nuclear Operating Co.",2
05200026,Vogtle,4,PWR,Westinghouse,,NPF-92,"26 mi SE of Augusta, GA","Southern Nuclear Operating Co.",2
05000382,Waterford,3,PWR,,,NPF-38,"25 mi W of New Orleans, LA","Entergy Nuclear Operations, Inc.",4
05000390,Watts Bar,1,PWR,,,NPF-90,"60 mi SW of Knoxville, TN","Tennessee Valley Authority",2
05000391,Watts Bar,2,PWR,,,NPF-96,"60 mi SW of Knoxville, TN","Tennessee Valley Authority",2
05000482,Wolf Creek,1,PWR,,,NPF-42,"3.5 mi NE of Burlington, KS","Wolf Creek Nuclear Operating Corp.",4
