eiis_code,type,canonical_name,reactor_scope,acronyms,source_standard,notes
IQ,system,Sequence of Events Monitoring System,,,IEEE 805-1984,"code also a COMPONENT function (Totalizer, Current)"
IR,system,Television System,,,IEEE 805-1984,"code also a COMPONENT function (Recorder, Current)"
IS,system,Environmental/Meteorological Monitoring System (Ex PLT),,,IEEE 805-1984,"code also a COMPONENT function (Switch, Current)"
IT,system,Main Turbine Instrumentation System,,,IEEE 805-1984,"code also a COMPONENT function (Transmitter, Current)"
IU,system,Display Control System,,,IEEE 805-1984,
IV,system,Vibration Monitoring System,,,IEEE 805-1984,
JA,system,Integrated Control System,,,IEEE 805-1984,"code also a COMPONENT function (Alarm, Power)"
JB,system,Feedwater/Steam Generator Water Level Control System,,,IEEE 805-1984,
JC,system,Plant Protection System,,,IEEE 805-1984,"code also a COMPONENT function (Control, Power)"
JD,system,Reactor Power Control System,,,IEEE 805-1984,
JE,system,Engineered Safety Features Actuation System,,,IEEE 805-1984,
JG,system,Solid State Control System/Auxiliary Logic Control System,,,IEEE 805-1984,
JI,system,Turbine Steam Bypass Control System,,,IEEE 805-1984,"code also a COMPONENT function (Wattmeter (See: Indicator, Power))"
JJ,system,Turbine Supervisory Control System,,,IEEE 805-1984,
JK,system,Feedwater Pump Turbine Instrumentation and Control System,,,IEEE 805-1984,
JL,system,Panels System,,,IEEE 805-1984,
JM,system,Containment Isolation Control System,,,IEEE 805-1984,"code also a COMPONENT function (Modifier, Power)"
KA,system,Condensate Storage and Transfer System,,,IEEE 805-1984,
KB,system,Turbine Building Closed Cooling Water System,,,IEEE 805-1984,
KC,system,Demineralized Water Storage and Transfer System,,,IEEE 805-1984,
KD,system,Condensate and Feedwater Chemistry Control System,,,IEEE 805-1984,
KE,system,Heat Rejection System,,,IEEE 805-1984,
KF,system,Heat Rejection Chemical Treatment System,,,IEEE 805-1984,
KG,system,Nonessential Service Water System,,,IEEE 805-1984,
KH,system,Water Filtration System,,,IEEE 805-1984,
KI,system,Raw Water Makeup System,,,IEEE 805-1984,"code also a COMPONENT function (Indicator, Time)"
KJ,system,Makeup Demineralizer System,,,IEEE 805-1984,
KK,system,Potable Water Distribution System,,,IEEE 805-1984,
KL,system,Removable Chemical Cleaning System,,,IEEE 805-1984,
KM,system,Chilled Water System,,,IEEE 805-1984,
KN,system,Sampling and Water Quality System,,,IEEE 805-1984,
KO,system,Gland Seal Water Supply System,,,IEEE 805-1984,
KP,system,Fire Protection System (Water),,,IEEE 805-1984,
KQ,system,Fire Protection System (Chemical),,,IEEE 805-1984,"code also a COMPONENT function (Totalizer, Time)"
LA,system,Diesel Lube Oil System,,,IEEE 805-1984,"code also a COMPONENT function (Alarm, Level)"
LB,system,Diesel Cooling Water System,,,IEEE 805-1984,"code also a COMPONENT function (Isolator, Level)"
LC,system,Diesel Generator Starting Air System,,,IEEE 805-1984,"code also a COMPONENT function (Control, Level)"
LD,system,Instrument Air Supply System,,,IEEE 805-1984,
LE,system,Essential Air System,,,IEEE 805-1984,"code also a COMPONENT function (Primary Element, Level)"
LF,system,Service Air System,,,IEEE 805-1984,code also a COMPONENT function (Lighting Fixture)
LG,system,Welding Gas System,,,IEEE 805-1984,"code also a COMPONENT function (Sight Glass, Level)"
LH,system,Breathing Air System,,,IEEE 805-1984,
LJ,system,Hydrogen Supply System,,,IEEE 805-1984,
LK,system,Nitrogen Supply System,,,IEEE 805-1984,
LL,system,Lube Oil System,,,IEEE 805-1984,
LM,system,Lube Oil Storage and Transfer System,,,IEEE 805-1984,"code also a COMPONENT function (Modifier, Level)"
LN,system,Insulating Oil System,,,IEEE 805-1984,
LP,system,Laboratory Gas System,,,IEEE 805-1984,
LQ,system,Laboratory Equipment System,,,IEEE 805-1984,
LR,system,Material and Equipment Handling System,,,IEEE 805-1984,"code also a COMPONENT function (Recorder, Level)"
LS,system,Plant Shop System,,,IEEE 805-1984,"code also a COMPONENT function (Switch, Level)"
LT,system,Record Storage System,,,IEEE 805-1984,"code also a COMPONENT function (Transmitter, Level)"
LU,system,Yard Handling and Maintenance System,,,IEEE 805-1984,code also a COMPONENT function (Lubricator)
LV,system,Plant Hot Water System,,,IEEE 805-1984,code also a COMPONENT function (Louver)
LW,system,Carbon Dioxide (CO2) Supply System,,,IEEE 805-1984,
MA,system,Administration Building,,,IEEE 805-1984,"code also a COMPONENT function (Alarm, Moisture)"
MB,system,Industrial/Sanitary Waste Treatment Building,,,IEEE 805-1984,"code also a COMPONENT function (Isolator, Moisture)"
MC,system,Maintenance and Warehouse Building,,,IEEE 805-1984,"code also a COMPONENT function (Control, Moisture)"
MD,system,Makeup Water Intake Structure,,,IEEE 805-1984,
MF,system,Service Building,,,IEEE 805-1984,
MG,system,Wastewater Outfall Structure,,,IEEE 805-1984,"code also a COMPONENT function (Generator Set, Motor)"
MH,system,Water Treatment Building,,,IEEE 805-1984,code also a COMPONENT function (Manhole)
MJ,system,Visitors Center,,,IEEE 805-1984,
MK,system,Essential Service Water Pump Building,,,IEEE 805-1984,
NA,system,Control Building/Control Complex,,,IEEE 805-1984,
NB,system,Emergency Onsite Power Supply Building,,,IEEE 805-1984,
NC,system,Emergency Operations Facility (Offsite),,,IEEE 805-1984,
ND,system,Fuel Building,,,IEEE 805-1984,
NE,system,Radwaste Building,,,IEEE 805-1984,
NF,system,Auxiliary Building,,,IEEE 805-1984,
NG,system,Reactor Building (BWR),BWR,,IEEE 805-1984,
NH,system,Reactor Containment Building,,,IEEE 805-1984,
NM,system,Turbine Building,,,IEEE 805-1984,
NN,system,Circulating Water Structures,,,IEEE 805-1984,
SA,system,Auxiliary Steam System,,,IEEE 805-1984,"code also a COMPONENT function (Alarm, speed)"
SB,system,Main/Reheat Steam System,,MS,IEEE 805-1984,"code also a COMPONENT function (Isolator, Speed)"
SD,system,Condensate System,,,IEEE 805-1984,code also a COMPONENT function (Steam Drum)
SE,system,Steam Extraction System,,,IEEE 805-1984,"code also a COMPONENT function (Primary Element, Speed)"
SF,system,Condensate Demineralizer System,,,IEEE 805-1984,
SG,system,Condenser System,,,IEEE 805-1984,"code also a COMPONENT function (Generator, Steam)"
SH,system,Condenser Vacuum System,,,IEEE 805-1984,code also a COMPONENT function (Superheater)
SI,system,Condenser Tube Cleaning System,,,IEEE 805-1984,"code also a COMPONENT function (Indicator, Speed)"
SJ,system,Feedwater System,,FW,IEEE 805-1984,
SK,system,Feedwater Pump Injection and Miscellaneous System,,,IEEE 805-1984,
SL,system,Feedwater Pump Turbine Lube Oil System,,,IEEE 805-1984,
SM,system,LP Heater Drains and Vents System,,,IEEE 805-1984,"code also a COMPONENT function (Modifier, Speed)"
SN,system,HP Heater and MSR Drains and Vents System,,,IEEE 805-1984,
TA,system,Main Turbine System,,,IEEE 805-1984,"code also a COMPONENT function (Alarm, Temperature)"
TB,system,Main Generator System,,,IEEE 805-1984,"code also a COMPONENT function (Isolator, Temperature)"
TC,system,Turbine Steam Seal System,,,IEEE 805-1984,"code also a COMPONENT function (Control, Temperature)"
TD,system,Turbine Lube Oil System,,,IEEE 805-1984,code also a COMPONENT function (Transducer 21 IEEE)
TE,system,Miscellaneous Turbine Vents System,,,IEEE 805-1984,"code also a COMPONENT function (Primary Element, Temperature)"
TF,system,Turbine Drains and Miscellaneous Piping System,,,IEEE 805-1984,
TG,system,Main Turbine Control Fluid System,,,IEEE 805-1984,"code also a COMPONENT function (Generator, Turbine)"
TH,system,Main Generator Gas Purge System,,,IEEE 805-1984,code also a COMPONENT function (Thermostat)
TI,system,Main Generator Seal Oil System,,,IEEE 805-1984,"code also a COMPONENT function (Indicator, Temperature)"
TJ,system,Main Generator Stator Cooling System,,,IEEE 805-1984,
TK,system,Main Generator Hydrogen Cooling System,,,IEEE 805-1984,code also a COMPONENT function (Tank)
TL,system,Main Generator Excitation System,,,IEEE 805-1984,
UA,system,Pumping Station Environmental Control System,,,IEEE 805-1984,
UB,system,Water Treatment Building Environmental Control System,,,IEEE 805-1984,
UC,system,Service Building Environmental Control System,,,IEEE 805-1984,
UD,system,Administration Building Environmental Control System,,,IEEE 805-1984,
UE,system,Security Building Environmental Control System,,,IEEE 805-1984,
UF,system,Technical Support Center Environmental Control System,,,IEEE 805-1984,
UG,system,Emergency Operations Facility Environmental Control System,,,IEEE 805-1984,
UH,system,Visitors Center Environmental Control System,,,IEEE 805-1984,
VA,system,Reactor Building Environmental Control System,,,IEEE 805-1984,"code also a COMPONENT function (Alarm, Vibration)"
VB,system,Drywell Environmental Control System (BWR),BWR,,IEEE 805-1984,"code also a COMPONENT function (Isolator, Vibration)"
VC,system,Shield Annulus Return and Exhaust System,,,IEEE 805-1984,
VE,system,Access Corridors Environmental Control System,,,IEEE 805-1984,"code also a COMPONENT function (Primary Element, Vibration)"
VF,system,Auxiliary Building Environmental Control System,,,IEEE 805-1984,
VG,system,Fuel Building Environmental Control System,,,IEEE 805-1984,
VH,system,Radwaste Building Environmental Control System,,,IEEE 805-1984,
VI,system,Control Building/Control Complex Environmental Control System,,,IEEE 805-1984,"code also a COMPONENT function (Indicator, Vibration)"
VJ,system,Emergency Onsite Power Supply Building Environmental Control System,,,IEEE 805-1984,
VK,system,Turbine Building Environmental Control System,,,IEEE 805-1984,
VL,system,Plant Exhaust System,,,IEEE 805-1984,
WA,system,Cask Decontamination System,,,IEEE 805-1984,"code also a COMPONENT function (Alarm, Weight or Force)"
WB,system,Solid Waste Management System,,,IEEE 805-1984,"code also a COMPONENT function (Isolator, Weight or Force)"
WD,system,Liquid Waste Management System,,,IEEE 805-1984,
WE,system,Gaseous Waste Management System (PWR),PWR,,IEEE 805-1984,"code also a COMPONENT function (Primary Element, Weight or Force)"
WF,system,Offgas System (BWR),BWR,,IEEE 805-1984,
WG,system,Sanitary Waste Processing System,,,IEEE 805-1984,
WH,system,Wastewater Disposal System,,,IEEE 805-1984,
WI,system,Steam Generator Blowdown System (PWR),PWR,,IEEE 805-1984,"code also a COMPONENT function (Indicator, Weight or Force)"
WJ,system,Sludge Waste Dewatering System,,,IEEE 805-1984,
WK,system,Equipment and Floor Drain System,,,IEEE 805-1984,
1,component,Master Element,,,IEEE C37.2 device no.,
2,component,"Relay, Time-Delay Starting or Closing",,,IEEE C37.2 device no.,
3,component,"Relay, Checking or Interlocking",,,IEEE C37.2 device no.,
4,component,"Contactor, Master",,,IEEE C37.2 device no.,
5,component,"Device, Stopping",,,IEEE C37.2 device no.,
6,component,"Circuit Breaker, Starting",,,IEEE C37.2 device no.,
7,component,"Circuit Breaker, Anode",,,IEEE C37.2 device no.,
8,component,"Device, Control Power Disconnecting",,,IEEE C37.2 device no.,
9,component,"Device, Reversing",,,IEEE C37.2 device no.,
10,component,"Switch, Unit Sequence",,,IEEE C37.2 device no.,
12,component,"Device, Overspeed",,,IEEE C37.2 device no.,
13,component,"Device, Synchronous Speed",,,IEEE C37.2 device no.,
14,component,"Device, Underspeed",,,IEEE C37.2 device no.,
15,component,"Device, Speed or Frequency Matching",,,IEEE C37.2 device no.,
